Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2004-05-09,2004-05-15,CENTRO OESTE,ETANOL HIDRATADO,127,1.29,1.19,1.35,2004,2004
2004-05-09,2004-05-15,CENTRO OESTE,ETANOL HIDRATADO,387,1.16,0.89,1.45,2004,2004
2004-05-09,2004-05-15,CENTRO OESTE,ETANOL HIDRATADO,192,1.39,1.18,1.76,2004,2004
2004-05-09,2004-05-15,CENTRO OESTE,ETANOL HIDRATADO,162,1.26,1.09,1.51,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,103,1.18,1.05,1.4,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,408,1.38,1.0,2.05,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,278,1.45,1.03,1.95,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,105,1.63,1.35,2.0,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,125,1.28,1.1,1.7,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,423,1.22,0.99,1.7,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,89,1.57,1.4,1.78,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,131,1.28,1.09,1.59,2004,2004
2004-05-09,2004-05-15,NORDESTE,ETANOL HIDRATADO,57,1.3,1.15,1.75,2004,2004
2004-05-09,2004-05-15,NORTE,ETANOL HIDRATADO,33,1.81,1.5,1.98,2004,2004
2004-05-09,2004-05-15,NORTE,ETANOL HIDRATADO,15,1.79,1.74,1.85,2004,2004
2004-05-09,2004-05-15,NORTE,ETANOL HIDRATADO,53,1.58,1.28,1.85,2004,2004
2004-05-09,2004-05-15,NORTE,ETANOL HIDRATADO,104,1.91,1.27,2.4,2004,2004
2004-05-09,2004-05-15,NORTE,ETANOL HIDRATADO,97,1.55,1.25,1.99,2004,2004
2004-05-09,2004-05-15,NORTE,ETANOL HIDRATADO,14,1.3,1.3,1.3,2004,2004
2004-05-09,2004-05-15,NORTE,ETANOL HIDRATADO,71,1.23,1.05,1.43,2004,2004
2004-05-09,2004-05-15,SUDESTE,ETANOL HIDRATADO,306,1.15,0.89,1.49,2004,2004
2004-05-09,2004-05-15,SUDESTE,ETANOL HIDRATADO,1238,1.21,0.92,1.88,2004,2004
2004-05-09,2004-05-15,SUDESTE,ETANOL HIDRATADO,952,1.1,0.74,1.89,2004,2004
2004-05-09,2004-05-15,SUDESTE,ETANOL HIDRATADO,4047,0.77,0.59,1.15,2004,2004
2004-05-09,2004-05-15,SUL,ETANOL HIDRATADO,760,0.92,0.74,1.5,2004,2004
2004-05-09,2004-05-15,SUL,ETANOL HIDRATADO,689,1.22,0.88,1.71,2004,2004
2004-05-09,2004-05-15,SUL,ETANOL HIDRATADO,506,1.23,1.0,1.46,2004,2004
2004-05-16,2004-05-22,CENTRO OESTE,ETANOL HIDRATADO,144,1.27,1.06,1.3,2004,2004
2004-05-16,2004-05-22,CENTRO OESTE,ETANOL HIDRATADO,378,1.16,0.89,1.45,2004,2004
2004-05-16,2004-05-22,CENTRO OESTE,ETANOL HIDRATADO,198,1.39,1.18,1.76,2004,2004
2004-05-16,2004-05-22,CENTRO OESTE,ETANOL HIDRATADO,174,1.26,0.96,1.52,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,106,1.18,1.05,1.4,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,424,1.39,1.0,2.05,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,277,1.45,1.03,1.95,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,108,1.62,1.34,2.0,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,125,1.28,1.09,1.7,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,435,1.22,0.99,1.7,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,93,1.57,1.35,1.78,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,123,1.28,1.09,1.59,2004,2004
2004-05-16,2004-05-22,NORDESTE,ETANOL HIDRATADO,49,1.3,1.15,1.75,2004,2004
2004-05-16,2004-05-22,NORTE,ETANOL HIDRATADO,32,1.8,1.5,1.98,2004,2004
2004-05-16,2004-05-22,NORTE,ETANOL HIDRATADO,15,1.79,1.74,1.85,2004,2004
2004-05-16,2004-05-22,NORTE,ETANOL HIDRATADO,56,1.56,1.26,1.85,2004,2004
2004-05-16,2004-05-22,NORTE,ETANOL HIDRATADO,117,1.89,1.27,2.4,2004,2004
2004-05-16,2004-05-22,NORTE,ETANOL HIDRATADO,96,1.54,1.25,1.99,2004,2004
2004-05-16,2004-05-22,NORTE,ETANOL HIDRATADO,14,1.3,1.3,1.3,2004,2004
2004-05-16,2004-05-22,NORTE,ETANOL HIDRATADO,71,1.23,1.05,1.43,2004,2004
2004-05-16,2004-05-22,SUDESTE,ETANOL HIDRATADO,307,1.14,0.88,1.47,2004,2004
2004-05-16,2004-05-22,SUDESTE,ETANOL HIDRATADO,1235,1.2,0.92,1.68,2004,2004
2004-05-16,2004-05-22,SUDESTE,ETANOL HIDRATADO,948,1.09,0.74,1.5,2004,2004
