Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2010-02-07,2010-02-13,CENTRO OESTE,GLP,64,41.53,39.0,45.0,2010,2010
2010-02-07,2010-02-13,CENTRO OESTE,GLP,419,40.35,36.0,45.0,2010,2010
2010-02-07,2010-02-13,CENTRO OESTE,GLP,114,46.79,40.0,50.0,2010,2010
2010-02-07,2010-02-13,CENTRO OESTE,GLP,203,44.21,38.0,47.0,2010,2010
2010-02-14,2010-02-20,CENTRO OESTE,GLP,64,41.53,39.0,45.0,2010,2010
2010-02-14,2010-02-20,CENTRO OESTE,GLP,405,40.33,36.0,45.0,2010,2010
2010-02-14,2010-02-20,CENTRO OESTE,GLP,111,46.94,40.0,51.0,2010,2010
2010-02-14,2010-02-20,CENTRO OESTE,GLP,199,43.94,34.0,47.0,2010,2010
2010-02-21,2010-02-27,CENTRO OESTE,GLP,63,41.56,39.0,45.0,2010,2010
2010-02-21,2010-02-27,CENTRO OESTE,GLP,424,40.32,36.0,45.0,2010,2010
2010-02-21,2010-02-27,CENTRO OESTE,GLP,112,46.83,40.0,51.0,2010,2010
2010-02-21,2010-02-27,CENTRO OESTE,GLP,183,43.88,38.0,47.0,2010,2010
2010-02-28,2010-03-06,CENTRO OESTE,GLP,115,42.7,39.0,45.0,2010,2010
2010-02-28,2010-03-06,CENTRO OESTE,GLP,489,40.26,36.0,45.0,2010,2010
2010-02-28,2010-03-06,CENTRO OESTE,GLP,117,46.9,40.0,51.0,2010,2010
2010-02-28,2010-03-06,CENTRO OESTE,GLP,206,43.84,38.0,50.0,2010,2010
2010-03-07,2010-03-13,CENTRO OESTE,GLP,116,42.72,39.0,45.0,2010,2010
2010-03-07,2010-03-13,CENTRO OESTE,GLP,430,40.27,36.0,45.0,2010,2010
2010-03-07,2010-03-13,CENTRO OESTE,GLP,118,46.88,40.0,50.0,2010,2010
2010-03-07,2010-03-13,CENTRO OESTE,GLP,209,43.68,38.0,47.0,2010,2010
2010-03-14,2010-03-20,CENTRO OESTE,GLP,113,42.73,39.0,45.0,2010,2010
2010-03-14,2010-03-20,CENTRO OESTE,GLP,481,40.23,36.0,48.0,2010,2010
2010-03-14,2010-03-20,CENTRO OESTE,GLP,117,46.9,40.0,51.0,2010,2010
2010-03-14,2010-03-20,CENTRO OESTE,GLP,209,43.84,38.0,47.0,2010,2010
2010-03-21,2010-03-27,CENTRO OESTE,GLP,118,42.87,39.0,46.0,2010,2010
2010-03-21,2010-03-27,CENTRO OESTE,GLP,479,40.25,34.0,45.0,2010,2010
2010-03-21,2010-03-27,CENTRO OESTE,GLP,118,46.91,40.0,51.0,2010,2010
2010-03-21,2010-03-27,CENTRO OESTE,GLP,202,43.66,30.0,47.0,2010,2010
2010-03-28,2010-04-03,CENTRO OESTE,GLP,108,42.64,39.0,45.0,2010,2010
2010-03-28,2010-04-03,CENTRO OESTE,GLP,423,40.27,35.0,45.0,2010,2010
2010-03-28,2010-04-03,CENTRO OESTE,GLP,118,46.88,40.0,51.0,2010,2010
2010-03-28,2010-04-03,CENTRO OESTE,GLP,209,43.8,33.0,47.0,2010,2010
2010-04-04,2010-04-10,CENTRO OESTE,GLP,118,42.86,39.0,45.0,2010,2010
2010-04-04,2010-04-10,CENTRO OESTE,GLP,483,40.27,36.0,45.0,2010,2010
2010-04-04,2010-04-10,CENTRO OESTE,GLP,117,46.88,40.0,51.0,2010,2010
2010-04-04,2010-04-10,CENTRO OESTE,GLP,211,43.54,38.0,47.0,2010,2010
2010-04-11,2010-04-17,CENTRO OESTE,GLP,118,42.68,39.0,45.0,2010,2010
2010-04-11,2010-04-17,CENTRO OESTE,GLP,483,40.25,36.0,45.0,2010,2010
2010-04-11,2010-04-17,CENTRO OESTE,GLP,117,46.93,40.0,51.0,2010,2010
2010-04-11,2010-04-17,CENTRO OESTE,GLP,210,43.71,30.0,49.0,2010,2010
2010-04-18,2010-04-24,CENTRO OESTE,GLP,113,42.73,39.0,45.0,2010,2010
2010-04-18,2010-04-24,CENTRO OESTE,GLP,480,40.24,34.0,45.0,2010,2010
2010-04-18,2010-04-24,CENTRO OESTE,GLP,117,46.91,40.0,51.0,2010,2010
2010-04-18,2010-04-24,CENTRO OESTE,GLP,212,43.56,38.0,47.0,2010,2010
2010-04-25,2010-05-01,CENTRO OESTE,GLP,113,42.73,39.0,45.0,2010,2010
2010-04-25,2010-05-01,CENTRO OESTE,GLP,473,40.22,36.0,45.0,2010,2010
2010-04-25,2010-05-01,CENTRO OESTE,GLP,118,46.93,40.0,50.0,2010,2010
2010-04-25,2010-05-01,CENTRO OESTE,GLP,211,43.82,38.0,47.0,2010,2010
2010-05-02,2010-05-08,CENTRO OESTE,GLP,118,42.66,39.0,45.0,2010,2010
2010-05-02,2010-05-08,CENTRO OESTE,GLP,484,40.22,36.0,45.0,2010,2010
2010-05-02,2010-05-08,CENTRO OESTE,GLP,118,46.92,40.0,51.0,2010,2010
2010-05-02,2010-05-08,CENTRO OESTE,GLP,212,43.69,38.0,47.0,2010,2010
2010-05-09,2010-05-15,CENTRO OESTE,GLP,118,42.68,39.0,45.0,2010,2010
2010-05-09,2010-05-15,CENTRO OESTE,GLP,484,40.22,36.0,45.0,2010,2010
2010-05-09,2010-05-15,CENTRO OESTE,GLP,119,46.89,40.0,50.0,2010,2010
2010-05-09,2010-05-15,CENTRO OESTE,GLP,210,43.85,38.0,47.0,2010,2010
2010-05-16,2010-05-22,CENTRO OESTE,GLP,118,42.67,39.0,45.0,2010,2010
2010-05-16,2010-05-22,CENTRO OESTE,GLP,481,40.32,35.0,45.0,2010,2010
2010-05-16,2010-05-22,CENTRO OESTE,GLP,119,46.93,40.0,51.0,2010,2010
2010-05-16,2010-05-22,CENTRO OESTE,GLP,212,43.7,38.0,47.0,2010,2010
2010-05-23,2010-05-29,CENTRO OESTE,GLP,118,42.64,39.0,45.0,2010,2010
2010-05-23,2010-05-29,CENTRO OESTE,GLP,482,40.26,36.0,45.0,2010,2010
2010-05-23,2010-05-29,CENTRO OESTE,GLP,119,46.91,40.0,51.0,2010,2010
2010-05-23,2010-05-29,CENTRO OESTE,GLP,212,44.24,38.0,47.0,2010,2010
2010-05-30,2010-06-05,CENTRO OESTE,GLP,118,42.74,39.0,45.0,2010,2010
2010-05-30,2010-06-05,CENTRO OESTE,GLP,481,40.27,36.0,45.0,2010,2010
2010-05-30,2010-06-05,CENTRO OESTE,GLP,119,46.84,40.0,50.0,2010,2010
2010-05-30,2010-06-05,CENTRO OESTE,GLP,212,43.74,38.0,47.0,2010,2010
2010-06-06,2010-06-12,CENTRO OESTE,GLP,118,42.64,39.0,45.0,2010,2010
2010-06-06,2010-06-12,CENTRO OESTE,GLP,482,40.24,36.0,45.0,2010,2010
2010-06-06,2010-06-12,CENTRO OESTE,GLP,119,46.85,40.0,50.0,2010,2010
2010-06-06,2010-06-12,CENTRO OESTE,GLP,211,43.88,38.0,48.0,2010,2010
2010-06-13,2010-06-19,CENTRO OESTE,GLP,118,42.64,39.0,45.0,2010,2010
2010-06-13,2010-06-19,CENTRO OESTE,GLP,482,40.21,36.0,45.0,2010,2010
2010-06-13,2010-06-19,CENTRO OESTE,GLP,118,46.83,40.0,50.0,2010,2010
2010-06-13,2010-06-19,CENTRO OESTE,GLP,211,43.85,32.0,47.0,2010,2010
2010-06-20,2010-06-26,CENTRO OESTE,GLP,118,42.52,38.0,45.0,2010,2010
2010-06-20,2010-06-26,CENTRO OESTE,GLP,481,40.21,36.0,45.0,2010,2010
2010-06-20,2010-06-26,CENTRO OESTE,GLP,118,47.0,40.0,51.0,2010,2010
2010-06-20,2010-06-26,CENTRO OESTE,GLP,211,44.03,38.0,48.0,2010,2010
2010-06-27,2010-07-03,CENTRO OESTE,GLP,118,42.44,36.0,45.0,2010,2010
2010-06-27,2010-07-03,CENTRO OESTE,GLP,491,40.2,36.0,45.0,2010,2010
2010-06-27,2010-07-03,CENTRO OESTE,GLP,119,46.97,40.0,51.0,2010,2010
2010-06-27,2010-07-03,CENTRO OESTE,GLP,210,43.96,35.9,47.0,2010,2010
2010-07-04,2010-07-10,CENTRO OESTE,GLP,118,42.42,36.0,45.0,2010,2010
2010-07-04,2010-07-10,CENTRO OESTE,GLP,490,40.24,36.0,45.0,2010,2010
2010-07-04,2010-07-10,CENTRO OESTE,GLP,119,46.94,40.0,51.0,2010,2010
2010-07-04,2010-07-10,CENTRO OESTE,GLP,211,43.87,38.0,47.0,2010,2010
2010-07-11,2010-07-17,CENTRO OESTE,GLP,118,42.32,36.0,45.0,2010,2010
2010-07-11,2010-07-17,CENTRO OESTE,GLP,491,40.27,36.0,45.0,2010,2010
2010-07-11,2010-07-17,CENTRO OESTE,GLP,119,46.71,40.0,51.0,2010,2010
2010-07-11,2010-07-17,CENTRO OESTE,GLP,212,43.87,38.0,47.0,2010,2010
2010-07-18,2010-07-24,CENTRO OESTE,GLP,118,42.42,36.0,45.0,2010,2010
2010-07-18,2010-07-24,CENTRO OESTE,GLP,491,40.23,36.0,45.0,2010,2010
2010-07-18,2010-07-24,CENTRO OESTE,GLP,119,46.76,40.0,51.0,2010,2010
2010-07-18,2010-07-24,CENTRO OESTE,GLP,211,44.0,35.9,47.0,2010,2010
2010-07-25,2010-07-31,CENTRO OESTE,GLP,118,37.18,35.0,39.0,2010,2010
2010-07-25,2010-07-31,CENTRO OESTE,GLP,482,40.2,37.0,45.0,2010,2010
2010-07-25,2010-07-31,CENTRO OESTE,GLP,99,46.84,39.0,51.0,2010,2010
2010-07-25,2010-07-31,CENTRO OESTE,GLP,213,43.74,38.0,48.91,2010,2010
2010-08-01,2010-08-07,CENTRO OESTE,GLP,118,37.22,35.0,42.0,2010,2010
2010-08-01,2010-08-07,CENTRO OESTE,GLP,488,40.19,37.0,45.0,2010,2010
2010-08-01,2010-08-07,CENTRO OESTE,GLP,103,46.7,39.0,51.0,2010,2010
2010-08-01,2010-08-07,CENTRO OESTE,GLP,213,44.39,38.0,48.0,2010,2010
2010-08-08,2010-08-14,CENTRO OESTE,GLP,118,37.19,35.0,39.0,2010,2010
2010-08-08,2010-08-14,CENTRO OESTE,GLP,488,40.2,35.99,45.0,2010,2010
2010-08-08,2010-08-14,CENTRO OESTE,GLP,103,46.69,40.0,51.0,2010,2010
2010-08-08,2010-08-14,CENTRO OESTE,GLP,212,44.55,38.0,48.0,2010,2010
