Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2014-03-09,2014-03-15,NORTE,GASOLINA COMUM,94,3.2,2.99,3.69,2014,2014
2014-03-09,2014-03-15,NORTE,GASOLINA COMUM,34,3.11,3.0,3.39,2014,2014
2014-03-09,2014-03-15,NORTE,GASOLINA COMUM,60,3.13,2.97,3.2,2014,2014
2014-03-09,2014-03-15,NORTE,GLP,32,49.8,46.0,57.0,2014,2014
2014-03-09,2014-03-15,NORTE,GLP,25,52.38,47.0,65.0,2014,2014
2014-03-09,2014-03-15,NORTE,GLP,175,43.81,40.0,50.0,2014,2014
2014-03-09,2014-03-15,NORTE,GLP,215,44.02,38.0,55.0,2014,2014
2014-03-09,2014-03-15,NORTE,GLP,83,47.2,41.0,55.0,2014,2014
2014-03-09,2014-03-15,NORTE,GLP,31,47.95,45.0,52.0,2014,2014
2014-03-09,2014-03-15,NORTE,GLP,86,47.49,43.0,50.0,2014,2014
2014-03-09,2014-03-15,NORTE,GNV,1,2.06,2.06,2.06,2014,2014
2014-03-16,2014-03-22,NORTE,ETANOL HIDRATADO,13,2.7,2.6,2.9,2014,2014
2014-03-16,2014-03-22,NORTE,ETANOL HIDRATADO,6,2.68,2.62,2.75,2014,2014
2014-03-16,2014-03-22,NORTE,ETANOL HIDRATADO,64,2.51,2.39,3.02,2014,2014
2014-03-16,2014-03-22,NORTE,ETANOL HIDRATADO,67,2.63,2.45,3.15,2014,2014
2014-03-16,2014-03-22,NORTE,ETANOL HIDRATADO,65,2.68,2.43,2.95,2014,2014
2014-03-16,2014-03-22,NORTE,ETANOL HIDRATADO,14,2.75,2.74,2.79,2014,2014
2014-03-16,2014-03-22,NORTE,ETANOL HIDRATADO,55,2.33,2.15,2.73,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL,45,3.08,2.86,3.31,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL,28,2.55,2.4,2.87,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL,84,2.55,2.19,2.95,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL,122,2.68,2.29,2.94,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL,90,2.75,2.45,3.09,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL,34,2.78,2.68,3.0,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL,53,2.46,2.37,2.55,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL S10,18,3.05,2.92,3.39,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL S10,10,2.98,2.57,3.18,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL S10,39,2.65,2.59,3.1,2014,2014
2014-03-16,2014-03-22,NORTE,ÓLEO DIESEL S10,119,2.62,2.43,3.17,2014,2014
