Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2010-01-31,2010-02-06,SUDESTE,GLP,113,34.42,29.9,38.0,2010,2010
2010-01-31,2010-02-06,SUDESTE,GLP,841,40.87,34.0,49.0,2010,2010
2010-01-31,2010-02-06,SUDESTE,GLP,231,36.26,31.0,42.0,2010,2010
2010-01-31,2010-02-06,SUDESTE,GLP,1649,37.88,29.99,45.0,2010,2010
2010-02-07,2010-02-13,SUDESTE,GLP,128,34.53,29.9,38.0,2010,2010
2010-02-07,2010-02-13,SUDESTE,GLP,851,40.95,30.0,49.0,2010,2010
2010-02-07,2010-02-13,SUDESTE,GLP,236,36.41,31.0,42.0,2010,2010
2010-02-07,2010-02-13,SUDESTE,GLP,1873,37.73,29.99,45.0,2010,2010
2010-02-14,2010-02-20,SUDESTE,GLP,144,34.26,28.0,40.0,2010,2010
2010-02-14,2010-02-20,SUDESTE,GLP,827,40.88,35.0,49.0,2010,2010
2010-02-14,2010-02-20,SUDESTE,GLP,228,36.38,33.0,42.0,2010,2010
2010-02-14,2010-02-20,SUDESTE,GLP,1871,37.82,29.99,48.0,2010,2010
2010-02-21,2010-02-27,SUDESTE,GLP,129,34.48,30.0,40.0,2010,2010
2010-02-21,2010-02-27,SUDESTE,GLP,872,40.8,35.0,49.0,2010,2010
2010-02-21,2010-02-27,SUDESTE,GLP,240,36.31,31.0,42.0,2010,2010
2010-02-21,2010-02-27,SUDESTE,GLP,1894,37.78,29.0,45.0,2010,2010
2010-02-28,2010-03-06,SUDESTE,GLP,122,34.66,30.0,40.0,2010,2010
2010-02-28,2010-03-06,SUDESTE,GLP,919,40.86,35.0,49.0,2010,2010
2010-02-28,2010-03-06,SUDESTE,GLP,239,36.35,33.0,42.0,2010,2010
2010-02-28,2010-03-06,SUDESTE,GLP,1911,37.71,29.0,45.0,2010,2010
2010-03-07,2010-03-13,SUDESTE,GLP,160,34.5,28.0,40.0,2010,2010
2010-03-07,2010-03-13,SUDESTE,GLP,934,40.77,33.0,49.0,2010,2010
2010-03-07,2010-03-13,SUDESTE,GLP,252,38.27,33.0,45.0,2010,2010
2010-03-07,2010-03-13,SUDESTE,GLP,1895,37.72,26.99,45.0,2010,2010
2010-03-14,2010-03-20,SUDESTE,GLP,163,34.99,26.99,38.0,2010,2010
2010-03-14,2010-03-20,SUDESTE,GLP,982,40.81,33.0,49.0,2010,2010
2010-03-14,2010-03-20,SUDESTE,GLP,251,38.81,33.0,45.0,2010,2010
2010-03-14,2010-03-20,SUDESTE,GLP,1967,37.78,28.9,45.0,2010,2010
2010-03-21,2010-03-27,SUDESTE,GLP,164,34.77,26.99,38.0,2010,2010
2010-03-21,2010-03-27,SUDESTE,GLP,1006,40.69,33.0,49.0,2010,2010
2010-03-21,2010-03-27,SUDESTE,GLP,279,38.66,33.9,45.0,2010,2010
2010-03-21,2010-03-27,SUDESTE,GLP,1945,37.67,29.99,45.0,2010,2010
2010-03-28,2010-04-03,SUDESTE,GLP,166,35.08,29.9,40.0,2010,2010
2010-03-28,2010-04-03,SUDESTE,GLP,997,40.73,33.0,49.0,2010,2010
