Data_inicial,Data_final,Regiao,Produto,Numero_postos_pesquisado,preco_media_revenda,Preco_minimo_revenda,Preco_maximo_revenda,Ano_inicial,Ano_final
2010-01-31,2010-02-06,SUL,GLP,535,38.61,31.0,47.0,2010,2010
2010-01-31,2010-02-06,SUL,GLP,639,37.81,32.0,45.0,2010,2010
2010-01-31,2010-02-06,SUL,GLP,367,40.98,35.0,48.0,2010,2010
2010-02-07,2010-02-13,SUL,GLP,576,38.67,31.9,46.25,2010,2010
2010-02-07,2010-02-13,SUL,GLP,657,37.89,31.0,45.0,2010,2010
2010-02-07,2010-02-13,SUL,GLP,406,41.07,35.0,49.25,2010,2010
2010-02-14,2010-02-20,SUL,GLP,585,38.63,31.9,46.25,2010,2010
2010-02-14,2010-02-20,SUL,GLP,655,37.9,28.5,45.0,2010,2010
2010-02-14,2010-02-20,SUL,GLP,406,41.07,35.0,48.0,2010,2010
2010-02-21,2010-02-27,SUL,GLP,562,38.69,31.9,46.25,2010,2010
2010-02-21,2010-02-27,SUL,GLP,659,37.93,32.0,45.0,2010,2010
2010-02-21,2010-02-27,SUL,GLP,348,41.03,30.0,48.0,2010,2010
2010-02-28,2010-03-06,SUL,GLP,589,38.77,31.9,47.0,2010,2010
2010-02-28,2010-03-06,SUL,GLP,680,37.91,31.0,45.0,2010,2010
2010-02-28,2010-03-06,SUL,GLP,375,41.12,35.0,48.0,2010,2010
2010-03-07,2010-03-13,SUL,GLP,622,38.83,31.9,49.0,2010,2010
2010-03-07,2010-03-13,SUL,GLP,633,37.97,31.0,45.0,2010,2010
2010-03-07,2010-03-13,SUL,GLP,383,41.22,35.0,48.0,2010,2010
2010-03-14,2010-03-20,SUL,GLP,658,38.81,30.0,45.0,2010,2010
2010-03-14,2010-03-20,SUL,GLP,673,37.95,31.0,45.0,2010,2010
2010-03-14,2010-03-20,SUL,GLP,359,41.08,35.0,48.0,2010,2010
2010-03-21,2010-03-27,SUL,GLP,660,38.79,30.0,45.0,2010,2010
2010-03-21,2010-03-27,SUL,GLP,696,37.94,32.0,45.0,2010,2010
2010-03-21,2010-03-27,SUL,GLP,383,41.19,35.0,48.0,2010,2010
2010-03-28,2010-04-03,SUL,GLP,699,38.8,30.0,46.25,2010,2010
2010-03-28,2010-04-03,SUL,GLP,690,37.9,31.0,45.0,2010,2010
2010-03-28,2010-04-03,SUL,GLP,387,41.2,35.0,49.9,2010,2010
2010-04-04,2010-04-10,SUL,GLP,710,38.8,30.0,46.25,2010,2010
2010-04-04,2010-04-10,SUL,GLP,693,38.02,32.0,49.63,2010,2010
2010-04-04,2010-04-10,SUL,GLP,385,41.1,35.0,48.0,2010,2010
2010-04-11,2010-04-17,SUL,GLP,728,38.82,30.0,46.25,2010,2010
2010-04-11,2010-04-17,SUL,GLP,703,37.9,28.0,45.0,2010,2010
2010-04-11,2010-04-17,SUL,GLP,385,41.05,35.0,48.0,2010,2010
